ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
180,180,-168,0,0,0,0,180,-168,180,f,abs,resp,freq_bottom,,,,,0,486,486,311,,,0.8604377224283001,,,,,,,,,,2667.907208092899,None,2667.907208092899,None,f,1,None,None,0.7330629756588678,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,-168,180,168,180,180,0,180,0,180,f,abs,resp,freq_bottom,,,,,0,487,487,371,,,0.7237718757615866,,,,,,,,,,2669.4136985730756,None,2669.4136985730756,None,f,1,None,None,0.8262092519607904,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,12,0,0,180,180,180,90,180,-12,j,present,resp,freq_bottom,,,,,0,488,488,651,,,0.7527915969148391,,,,,,,,,,2671.215004607705,None,2671.215004607705,None,j,1,None,None,2.27333685414942,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,-168,180,180,-168,0,90,0,180,f,present,resp,freq_bottom,,,,,0,489,489,818,,,0.8499569812781477,,,,,,,,,,2674.6383909827227,None,2674.6383909827227,None,f,1,None,None,0.8339676433997738,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,0,-168,180,90,180,0,-168,180,f,present,resp,freq_bottom,,,,,0,490,490,822,,,0.9943678084593719,,,,,,,,,,2676.7212517986345,None,2676.7212517986345,None,f,1,None,None,2.0621992173355466,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,0,180,0,0,0,12,0,0,0,j,abs,resp,freq_bottom,,,,,0,491,491,58,,,0.7170099934823353,,,,,,,,,,2679.663121062963,None,2679.663121062963,None,j,1,None,None,0.6562934463390775,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,0,168,0,0,0,180,0,168,f,abs,resp,freq_bottom,,,,,0,492,492,247,,,0.9408765495960874,,,,,,,,,,2681.4751562740994,None,2681.4751562740994,None,f,1,None,None,0.6043312702704497,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,12,180,180,180,0,180,0,180,-12,j,abs,resp,freq_bottom,,,,,0,493,493,147,,,0.8086436561179504,,,,,,,,,,2683.0284506549933,None,2683.0284506549933,None,j,1,None,None,0.6990583229771801,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
168,0,0,0,0,0,0,-168,0,0,f,abs,resp,freq_bottom,,,,,0,494,494,368,,,0.9479803435735763,,,,,,,,,,2685.135468342364,None,2685.135468342364,None,f,1,None,None,0.8960655633991337,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,0,180,168,270,0,-168,180,180,f,present,resp,freq_bottom,,,,,0,495,495,901,,,1.0906266474282673,,,,,,,,,,2687.523174206269,None,2687.523174206269,None,f,1,None,None,1.868445291428543,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
